short_id,eid,doi,weblink,scholar_link,title,subtype,journal,author_names,abstract,citedby_count,year,labeled_as,affilname,openaccess,publisher,downloaded
1,2-s2.0-105024758208,10.1039/d5gc02518d,https://doi.org/10.1039/d5gc02518d,https://scholar.google.com/scholar?q=10.1039/d5gc02518d,Assessments of life cycle and biodegradation properties uncovered distinct profiles of pharmaceutical excipients guiding selection for drug formulations,ar,Green Chemistry,"Bading, Mila;Griffing, Evan;Olsson, Oliver;Harris, Jake;Scher, Jochen;Sakurai, Atsushi;Overcash, Michael;Kümmerer, Klaus","Urgent sustainability efforts are needed, particularly in resource-intensive industries such as the pharmaceutical sector. Pharmaceuticals (“drugs”) are made up of active pharmaceutical ingredients (APIs) and excipients. Excipients are essential components in drug formulations. They play a significant role for the applicability of drugs. In recent years the environmental impact of APIs received much attention. In contrast, the environmental impacts of excipients most often are not considered. Here, we systematically evaluate the environmental impacts of 38 pharmaceutical excipients through cradle-to-gate life cycle assessments (LCAs) and environmental biodegradability analysis. This integrated approach provides environmental scores for excipients. Our findings identify critical environmental hotspots, particularly in excipient application fields such as binders. This calls for greener, more sustainable alternative excipients. As a key outcome, the “Excipient Selection Guide” is introduced based on a database which provides data for relative ranking to environmental issues. It will enable the pharmaceutical industry to determine whether new or existing alternatives truly represent a more sustainable choice. The data and the method can be used to design novel, greener, and more sustainable excipients of the future (“Benign by Design”). While focused on the application for pharmaceuticals, the guide's principles and data are applicable to other sectors, including food, chemistry, cosmetics, and personal care, supporting sustainability across industries where the same compounds are used.",0,2025,universitaet,"Boehringer Ingelheim International GmbH;Leuphana Universität Lüneburg;Nippon Boehringer Ingelheim Co., Ltd.;Environmental Genome Initiative;Reston Hospital",0,Royal Society of Chemistry,no
2,2-s2.0-105022097974,10.1016/j.isci.2025.113889,https://doi.org/10.1016/j.isci.2025.113889,https://scholar.google.com/scholar?q=10.1016/j.isci.2025.113889,Measuring environmental (in)justices: Insights from a systematic literature review on methodological approaches,ar,Iscience,"Loos, Jacqueline;Gohr, Charlotte;Zafra-Calvo, Noelia;Cortés-Capano, Gonzalo;Tonninger, Anna Lena;von Wehrden, Henrik","Environmental (in)justice research uses various conceptual frameworks and methodological approaches, leading to fragmentation across contexts and disciplines. Our systematic review provides a methodological overview of how environmental (in)justice has been studied in 421 English-language scientific articles. Most studies approach environmental (in)justice from a quantitative and interdisciplinary perspective, primarily using purposive sampling, secondary data, and GIS/remote sensing tools with an emphasis on distributive justice. Although there is a notable diversification over time in data collection and analysis, there is a strong geographic bias with short-term, locally focused, and limited actor involvement, though actor diversity is growing over time. We identified eight thematic clusters with distinct methodological patterns: health, pollution, governance, climate change, collaboration, access, and green space. The lack of broadly adopted methodological approaches for evaluating environmental (in)justices largely stems from the context-specific, multi-scalar nature of cases and the philosophical and normative diversity embedded in the EJ concept itself.",0,2025,universitaet,Universität Wien;Georg-August-Universität Göttingen;Universität Kassel;Leuphana Universität Lüneburg;BC3 Basque Centre for Climate Change,1,Elsevier Inc.,yes
3,2-s2.0-105024708604,10.1108/JOCM-06-2025-0494,https://doi.org/10.1108/JOCM-06-2025-0494,https://scholar.google.com/scholar?q=10.1108/JOCM-06-2025-0494,Between institutional scaling and artistic probing: how traditional performing arts organizations navigate digital transformation,ar,Journal of Organizational Change Management,"Holst, Christian;Bekmeier-Feuerhahn, Sigrid","Purpose – This study aims to examine how traditional performing arts organizations (PAOs) interpret and respond to digital transformation in a context of long-standing traditions and ambiguous demands. It explores how and why digital strategies diverge under similar institutional contexts. Design/methodology/approach – Based on 25 expert interviews with digital professionals in PAOs, the study applies sensemaking theory and the Gioia methodology to reconstruct how organizations assign meaning to digital initiatives and shape distinct strategies. Findings – We identify two ideal-typical strategic orientations: scaling and potentialization. Scaling focuses on expanding access and preserving continuity by digitally reproducing existing formats. In contrast, potentialization embraces digitality as a space for creative exploration and reimagining of artistic expression. These orientations are shaped by different sensemaking modes and unfold across four aggregate dimensions: initiating conditions, resource allocation, interaction culture and dissemination logic. Originality/value – The study contributes to the body of research in organizational change management by (1) offering a framework of complementary strategic orientations rooted in different sensemaking modes, (2) demonstrating how sensemaking drives strategic divergence in highly institutionalized settings and (3) providing a concept of potentialization as a culturally grounded logic of digital innovation in the arts.",0,2025,universitaet,Leuphana Universität Lüneburg,1,Emerald Publishing,yes
4,2-s2.0-105024108448,10.5194/egqsj-74-325-2025,https://doi.org/10.5194/egqsj-74-325-2025,https://scholar.google.com/scholar?q=10.5194/egqsj-74-325-2025,Eco-morphological changes and potential salmon habitat suitability since pre-industrial times in the Mulde River system (Germany),ar,E and G Quaternary Science Journal,"Offermann, Martin;Hein, Michael;Hegemann, Ronja;Gödecke, Kay;Hegner, Lucas;Henke, Yamuna;Schäfer, Nele;Shelukhina, Hanna;Liebscher, Erik;Opel, Severin;Rabiger-Völlmer, Johannes;Werther, Lukas;Zielhofer, Christoph","Channel patterns and river connectivity are widely recognised to be representative parameters for the fluvial-geomorphological behaviour and the eco-morphological properties of rivers. They are sensitive to climate and land-use changes and, in turn, can indicate the habitat suitability for aquatic fauna, i.e. expressed by the diversity of channel width, flow velocity, and depositional regimes. Both habitat potential and the overall river connectivity since medieval times have also been influenced by barriers such as weirs and dams. Here we present the results of a multi-Temporal study investigating river morphology, river connectivity, and floodplain land use in the Mulde River system. The study is motivated by the local extinction of the Atlantic salmon (Salmo salar) within the last 2 centuries and reintroduction endeavours that have met with very limited success. In order to test for salmon presence in relation to waterbody structures, we make use of old maps (Sächsische Meilenblätter, 1780-1821; Von Deckersche Quadratmeilenblätter, 1816-1821) to pinpoint (i) historical barriers and (ii) anthropogenic changes in channel patterns that may have affected migratory fish populations. Furthermore, we evaluate (iii) historical floodplain land use as a pollution proxy, presuming that this also influences salmon habitat suitability. Our initial results point to a negative relation between an increasing number of cumulative barriers, as well as increased floodplain land use, and the presence of salmon populations during past periods. Finally, sinuous and meandering channel patterns correspond to higher probabilities of salmon presence.",0,2025,universitaet,Eberhard Karls Universität Tübingen;Universität Leipzig;Leuphana Universität Lüneburg;Deutsches Archäologisches Institut,1,Copernicus Publications,yes
5,2-s2.0-105009148226,10.59403/1z94zhh,https://doi.org/10.59403/1z94zhh,https://scholar.google.com/scholar?q=10.59403/1z94zhh,Tax-Related Sustainability Reporting: Theoretical and Normative Implications from a European Perspective,ar,European Taxation,"Münch, Maurice;Velte, Patrick","Tax disclosure has become increasingly important for the stakeholders of public interest entities. The heterogeneity of tax disclosure in financial and sustainability reporting leaves open questions about the (non-) integration of tax and sustainability reporting. This article aims to explore the components of tax-related sustainability reporting (TRSR) and its derivation from existing reporting standards. Based on legitimacy and stakeholder (agency) theories, the authors stress the need for regulation of TRSR from a European perspective and introduce an innovative reporting concept.",0,2025,universitaet,Leuphana University of Luneburg,0,International Bureau of Fiscal Documentation (IBFD),no
6,2-s2.0-85218121791,10.1038/s43247-025-02081-y,https://doi.org/10.1038/s43247-025-02081-y,https://scholar.google.com/scholar?q=10.1038/s43247-025-02081-y,Effectiveness of the world network of biosphere reserves in maintaining forest ecosystem functions,ar,Communications Earth and Environment,"Gohr, Charlotte;von Wehrden, Henrik;Saatchi, Sassan;Pettorelli, Nathalie;Ibisch, Pierre L.","UNESCO biosphere reserves serve as learning areas for sustainable development, where preserving ecosystem functionality is an imperative. However, this critical assumption has yet to be thoroughly examined. To address this knowledge gap, we investigated differences in satellite-derived proxies of ecosystem functions in forests between inside and surrounding areas of biosphere reserves, globally. Our findings based on linear mixed effect models show that (i) only 18 of 119 biosphere reserves exhibited higher values for all forest ecosystem function proxies inside the reserves compared to outside, (ii) smaller reserves in fragmented forestscapes were more affected by hot day temperatures, and (iii) greater forest cover correlated with increased ecosystem functioning across all biomes. This study underscores the potential significance of biosphere reserves to biodiversity conservation efforts and the need for the integration of satellite-based, outcome-oriented proxies of ecosystem functions in assessments of protected area effectiveness.",4,2025,universitaet,"University of California, Los Angeles;California Institute of Technology;Leuphana Universität Lüneburg;Zoological Society of London Institute of Zoology;Eberswalde University for Sustainable Development",1,Nature Publishing Group,yes
7,2-s2.0-85217211131,10.1007/s13412-024-00971-9,https://doi.org/10.1007/s13412-024-00971-9,https://scholar.google.com/scholar?q=10.1007/s13412-024-00971-9,Investigating values and environmental attitudes in the context of the COVID-19 pandemic,ar,Journal of Environmental Studies and Sciences,"Detjen, Lisa;Schröder, Sophia;Schwenck, Magdalena;Summa, Jana;Schreiber, Jonathan;von Wehrden, Henrik","This research investigates changes in peoples’ values and specifically of environmental attitudes during the COVID-19 pandemic. Building on a longitudinal quantitative design with three survey waves (n = 144, 34, 34) conducted in Lüneburg, Germany, we examined how experiencing the crisis related to the coronavirus may change major values and affect environmental awareness as well as attitudes toward climate change. In addition to a quantitative survey, qualitative interviews were conducted to gain in-depth insights. Over a 5-month period from May to October 2020, a slight shift in individual values was detected, with participants moving away from conservation values (tradition, security) and toward emancipative and postmaterial values (autonomy, self-expression), as well as an increase in a feeling of connectedness to others. Limitations of this study include a high participant dropout over the research period which increases the risk of bias. Yet, this research during times of crisis can aid our understanding of shifts in individual values.",0,2025,universitaet,Arizona State University;Leuphana Universität Lüneburg,0,Springer,no
8,2-s2.0-105025884199,10.3390/children12121613,https://doi.org/10.3390/children12121613,https://scholar.google.com/scholar?q=10.3390/children12121613,Formative Evaluation of an Early Family-Centred Prevention Programme for Childhood Overweight and Obesity (FruehstArt): A Study Protocol,ar,Children,"Ruettger, Katharina;Fluegel, Verena;Hagemeier, Anna;Rosenberger, Kerstin D.;Hellmich, Martin;Joisten, Christine;Mause, Laura;Scholten, Nadine;Glaubach, Julia;Hehn, Miriam;Bernhard, Ida;Redaèlli, Marcus;Simic, Dusan;Alayli, Adrienne;Stock, Stephanie;Dadaczynski, Kevin","Background: Early childhood obesity is an urgent public health challenge, with long-term health risks. The 12-month fruehstArt intervention aims to improve healthcare for 3 to 6-year-olds with overweight and obesity in Germany through a family-centred approach, including home-based counselling with coaches, paediatric consultations, and a supportive web application for both German- and Turkish-speaking families. This process evaluation will examine the barriers and enabling factors critical for successful implementation, identify necessary adaptations to the intervention, and assess its quality and acceptability among families, coaches, and paediatricians. Methods: This formative evaluation will use a mixed-methods approach including qualitative and quantitative data. Semi-structured interviews will be conducted with parents, coaches, and paediatricians at two different time points. Interviews will be analysed using qualitative content analysis. An Implementation Quality Index assessing the four dimensions of dosage, adherence, quality of delivery, and participant responsiveness will be developed, based on data collected from coaches carrying out the home-based counselling and participating parents of the intervention group. Linear mixed models for repeated measures will be used to analyse the relationship between data of the Implementation Quality Index and the primary and secondary outcomes of the effectiveness evaluation. Conclusions: The formative evaluation of the fruehstArt intervention is expected to identify important determinants of the implementation and provide valuable insights for future strategies to improve implementation. By identifying barriers and facilitators to participation, this study aims to pave the way for an effective dissemination of the intervention and ultimately contribute to improved health outcomes for children.",0,2025,universitaet,Universität Potsdam;Uniklinik Köln;Universitätsmedizin Göttingen;Universitätsklinikum Bonn;Universitätsklinikum Düsseldorf;Medizinische Fakultät;Leuphana Universität Lüneburg;Deutsche Sporthochschule Köln,1,Multidisciplinary Digital Publishing Institute (MDPI),yes
9,2-s2.0-105025699684,10.1111/aje.70137,https://doi.org/10.1111/aje.70137,https://scholar.google.com/scholar?q=10.1111/aje.70137,Testing Camera Trapping to Survey the Ground-Dwelling Bird Assemblage of Two Afromontane Rainforest Fragments in Rwanda,ar,African Journal of Ecology,"Sun, Ping;Wronski, Torsten","Ground-dwelling birds play vital roles in forest ecosystems, such as seed dispersal and pest control, but are vulnerable to habitat fragmentation and hard to detect using traditional survey methods. Camera traps offer a non-invasive, effective alternative for monitoring these elusive species, especially in difficult terrain and over extended periods. Camera trapping can enhance data collection on species behaviour, distribution and diversity, especially on rare, elusive species. The Albertine Rift Valley, a biodiversity hotspot, is home to many endemic bird species, yet their ecology remains poorly understood. A study in Rwanda's Gishwati-Mukura National Park used camera traps to assess bird diversity and compare two forest fragments. The study used 64 camera traps arranged in 4 × 4 grids across Gishwati and Mukura Forests from May 2017 to May 2018. Images were analysed for ground-dwelling birds using defined photographic events. Species richness was assessed through rarefied species accumulation curves and Jacknife-2 estimators. Diversity was measured using Shannon, Simpson, and evenness indices, which were subsequently compared between forest fragments. Bird community composition was examined using Detrended Correspondence Analysis. Eighteen bird species were recorded, with similar richness and diversity in either forest, though Mukura showed greater species heterogeneity, that is, greater variation in species composition. Detection rates were limited due to insufficient sampling effort, suggesting true species richness may well exceed 20 species. Some rare and endemic species were documented, highlighting camera trapping to be a valuable supplement to traditional survey methods. Despite habitat disturbance, both forests maintain healthy bird communities. However, more extensive sampling is needed to improve precision and to better understand community structure and species turnover between forest fragments.",0,2025,universitaet,Humboldt-Universität zu Berlin;Liverpool John Moores University;Leuphana Universität Lüneburg;University of Rwanda,1,John Wiley and Sons Inc,yes
10,2-s2.0-105024746349,10.1038/s41467-025-67265-8,https://doi.org/10.1038/s41467-025-67265-8,https://scholar.google.com/scholar?q=10.1038/s41467-025-67265-8,Intraspecific and intraindividual trait variability decrease with tree richness in a subtropical tree biodiversity experiment,ar,Nature Communications,"Castro Sánchez-Bermejo, Pablo;Carmona, Carlos P.;Schuman, Meredith Christine;Benavides, Raquel;Sachsenmaier, Lena;Li, Shan;Liu, Xiaojuan;Haider, Sylvia","Phenotypic variability within tree species responds to local tree species richness. However, we lack evidence on how different sources of trait variation shape tree-tree interactions. Along a diversity gradient from one to eight tree species, here we collect 4568 leaves from 381 trees to study changes in intraspecific and intraindividual leaf trait variability, and assess their contribution to community functional diversity. Intraspecific trait variability in functional traits decreases with tree species richness, while similar responses for intraindividual variability are revealed by spectral traits. Functional overlap between conspecific trees increases through intraindividual variation, but is reduced through intraspecific variability, meaning that intraspecific variability may reduce intraspecific competitive interactions while intraindividual variability could arise due to varying light within the canopy. Last, intraspecific and intraindividual variability explain high community functional richness and divergence, respectively, especially in mixtures. Our findings emphasize that fine-scale variability influences tree-tree interactions and drive local functional diversity.",0,2025,universitaet,"Universität Zürich;Universität Leipzig;Universidad Politécnica de Madrid;Martin-Luther-Universität Halle-Wittenberg;Institute of Botany, Chinese Academy of Sciences;Leuphana Universität Lüneburg;German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig;Ökoloogia ja Maateaduste Instituut;CSIC - Mision Biologica de Galicia (MBG);Center for the Biodiversity Conservation and Sustainable Development",1,Nature Research,yes
